id,statement_id,dimension,text,social_desirability,context,factor_loading,discrimination,difficulty,is_calibrated,calibration_version,created_at,updated_at
1,T1001,T1,我傾向先開始行動，邊做邊調整,4.9,work,0.76,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
2,T1002,T1,長時間的會議討論讓我不耐煩,4.3,work,0.65,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
3,T1003,T1,我善於推動停滯的專案向前進展,5.6,work,0.78,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
4,T1004,T1,比起完美計劃，我更重視快速執行,4.7,general,0.71,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
5,T1005,T1,我經常是團隊中第一個採取行動的人,5.3,team,0.74,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
6,T1006,T1,我擅長同時管理多個任務和專案,5.6,work,0.79,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
7,T1007,T1,我能快速找出最有效的資源配置方案,5.4,work,0.76,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
8,T1008,T1,複雜的協調工作對我來說是種享受,4.8,work,0.7,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
9,T1009,T1,我經常重新安排計劃以達到更好效果,5.0,general,0.72,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
10,T1010,T1,我善於識別並調動團隊成員的優勢,5.7,team,0.81,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
11,T2001,T2,我會仔細檢查每個細節以確保完美,5.4,work,0.78,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
12,T2002,T2,草率的工作讓我感到不安,5.1,general,0.73,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
13,T2003,T2,我寧願花更多時間也要做到盡善盡美,5.0,work,0.76,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
14,T2004,T2,錯誤和瑕疵很容易被我發現,5.2,general,0.74,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
15,T2005,T2,我追求無可挑剔的工作標準,5.3,work,0.77,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
16,T3001,T3,我喜歡探索全新的可能性,5.6,general,0.79,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
17,T3002,T3,傳統做法往往讓我想要改進,5.0,work,0.72,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
18,T3003,T3,我經常想出別人沒想過的解決方案,5.4,general,0.75,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
19,T3004,T3,創新和變革讓我興奮,5.5,general,0.78,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
20,T3005,T3,我善於從看似無關的事物中找到連結,5.3,general,0.76,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
21,T4001,T4,我需要充分的數據才能做出決定,5.0,work,0.77,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
22,T4002,T4,我經常質疑他人提出的結論是否有證據支持,4.4,general,0.69,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
23,T4003,T4,我擅長發現數據中的模式和趨勢,5.5,work,0.8,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
24,T4004,T4,情感因素很少影響我的判斷,4.6,general,0.66,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
25,T4005,T4,我喜歡深入研究問題的根本原因,5.3,work,0.74,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
26,T4006,T4,了解事情的來龍去脈對我很重要,5.3,general,0.75,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
27,T4007,T4,我經常引用過去的經驗來解決當前問題,5.2,work,0.73,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
28,T4008,T4,沒有背景資訊我難以做出判斷,4.8,general,0.7,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
29,T4009,T4,我喜歡研究事物的歷史和演變,5.0,general,0.72,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
30,T4010,T4,理解組織文化的形成過程幫助我更好地融入,5.4,work,0.76,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
31,T5001,T5,在混亂情況下我自然會接手領導,5.1,team,0.77,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
32,T5002,T5,我不害怕與他人產生衝突,4.2,general,0.68,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
33,T5003,T5,我能讓猶豫不決的團隊快速行動,5.4,team,0.79,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
34,T5004,T5,直接表達意見比顧慮他人感受更重要,4.0,general,0.65,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
35,T5005,T5,我享受承擔決策責任的壓力,4.9,work,0.73,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
36,T5006,T5,我能輕鬆地向不同背景的人解釋複雜概念,5.6,general,0.8,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
37,T5007,T5,我經常成為團隊的發言人,5.0,team,0.72,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
38,T5008,T5,寫作和演講對我來說很自然,5.2,general,0.75,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
39,T5009,T5,我喜歡通過故事來傳達觀點,5.1,general,0.71,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
40,T5010,T5,安靜的會議讓我忍不住想發言,4.5,work,0.67,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
41,T6001,T6,我相信所有事件的發生都有其原因,5.0,general,0.71,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
42,T6002,T6,我能看到不同事物之間的深層聯繫,5.3,general,0.74,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
43,T6003,T6,幫助他人讓我感受到生命的意義,5.7,general,0.79,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
44,T6004,T6,我重視團隊的集體成就勝過個人榮譽,5.4,team,0.76,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
45,T6005,T6,巧合對我來說往往有特殊含義,4.6,general,0.67,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
46,T7001,T7,客戶的需求總是我的第一優先,5.8,work,0.8,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
47,T7002,T7,我能敏銳感知客戶的真正需要,5.5,work,0.77,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
48,T7003,T7,為客戶創造價值是我工作的動力來源,5.6,work,0.78,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
49,T7004,T7,我會主動了解客戶的業務和挑戰,5.4,work,0.75,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
50,T7005,T7,客戶的滿意度直接影響我的工作成就感,5.7,work,0.79,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
51,T8001,T8,學習新技能讓我感到興奮,5.8,general,0.82,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
52,T8002,T8,我經常尋找改善自己的機會,5.6,general,0.78,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
53,T8003,T8,挑戰讓我成長，而非感到壓力,5.4,general,0.76,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
54,T8004,T8,我喜歡從失敗中學習寶貴經驗,5.5,general,0.77,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
55,T8005,T8,持續進步比達到完美更重要,5.7,general,0.8,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
56,T9001,T9,我的核心價值觀指引著我的所有決定,5.5,general,0.78,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
57,T9002,T9,工作的意義比薪資更重要,5.2,work,0.73,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
58,T9003,T9,我難以在價值觀不合的環境中工作,4.7,work,0.71,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
59,T9004,T9,我願意為自己相信的事業付出額外努力,5.4,general,0.76,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
60,T9005,T9,違背原則的成功對我毫無意義,5.3,general,0.74,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
61,T9006,T9,規則應該平等地適用於所有人,5.6,general,0.78,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
62,T9007,T9,特權和例外讓我感到不適,5.0,general,0.72,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
63,T9008,T9,我會確保每個人都有平等的機會,5.8,team,0.81,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
64,T9009,T9,程序的一致性比靈活性更重要,4.5,work,0.68,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
65,T9010,T9,我難以接受基於關係的優待,5.1,work,0.73,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
66,T10001,T10,突發狀況不會讓我感到慌張,5.4,general,0.72,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
67,T10002,T10,我能輕鬆調整計劃以應對新情況,5.2,work,0.75,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
68,T10003,T10,相比長期規劃，我更擅長處理當前事務,4.5,general,0.67,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
69,T10004,T10,變化帶給我新鮮感而非壓力,5.0,general,0.73,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
70,T10005,T10,我享受每天面對不同挑戰的工作,5.1,work,0.71,1.0,0.0,0,initial,2025-10-02 03:20:15,2025-10-02 03:20:15
